705,861,1225,984,1711,1009,2153,1009,2140,1186,1700,1195,1223,1151,726,1032
700,656,826,688,982,719,1184,742,1163,905,972,889,825,856,691,811
2261,767,2477,760,2695,739,2842,705,2823,879,2693,891,2489,919,2246,956
2242,1025,2479,981,2688,951,2835,911,2839,1077,2698,1107,2493,1151,2233,1175
2242,1239,2349,1235,2442,1233,2486,1228,2472,1407,2426,1423,2312,1421,2246,1416
726,1075,949,1140,1189,1186,1635,1240,1621,1414,1170,1363,928,1335,730,1242
2281,521,2470,504,2733,498,2870,481,2853,658,2754,674,2468,712,2291,712
2279,286,2532,275,2749,265,2891,260,2884,433,2758,453,2516,454,2272,474
2288,35,2586,44,2796,40,2896,35,2881,219,2809,226,2577,218,2270,226
696,439,842,458,1011,486,1184,511,1172,679,998,677,830,646,688,609
689,212,846,235,1039,253,1172,260,1163,447,1030,433,828,402,682,379
672,18,735,16,798,12,909,21,882,191,807,186,719,186,656,184
